Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Class,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,MSRP,Type,High-Performance,Performance
Acura,ILX,2017,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,35,25,31980,Gas,0,0
Acura,ILX,2017,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,35,25,34980,Gas,0,0
Acura,ILX,2017,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,35,25,27990,Gas,0,0
Acura,ILX,2017,0,201,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Compact,Sedan,35,25,29990,Gas,0,0
Acura,TLX,2017,0,206,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Midsize,Sedan,35,24,35950,Gas,0,0
Acura,TLX,2017,0,206,4,Luxury,AUTOMATED_MANUAL,front wheel drive,Luxury,Midsize,Sedan,35,24,31900,Gas,0,0
Acura,TLX,2015,0,290,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,34,21,42600,Gas,0,0
Acura,TLX,2015,0,290,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,34,21,39375,Gas,0,0
Acura,TLX,2015,0,290,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,34,21,35320,Gas,0,0
Acura,TLX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,34,21,35320,Gas,0,0
Acura,TLX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,34,21,42600,Gas,0,0
Acura,TLX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,34,21,39375,Gas,0,0
Acura,TLX,2017,0,290,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,34,21,42600,Gas,0,0
Acura,TLX,2017,0,290,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,34,21,39400,Gas,0,0
Acura,TLX,2017,0,290,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,34,21,35350,Gas,0,0
Acura,RLX,2016,0,377,6,Luxury,AUTOMATED_MANUAL,all wheel drive,"Luxury,High-Performance,Hybrid",Midsize,Sedan,32,28,59950,Hybrid,0,0
Acura,RLX,2016,0,377,6,Luxury,AUTOMATED_MANUAL,all wheel drive,"Luxury,High-Performance,Hybrid",Midsize,Sedan,32,28,65950,Hybrid,0,0
Acura,TSX,2012,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,31,22,30010,Gas,0,0
Acura,TSX,2012,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,31,22,33110,Gas,0,0
Acura,TSX,2012,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,31,22,31010,Gas,0,0
Acura,TSX,2013,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,31,22,30510,Gas,0,0
Acura,TSX,2013,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,31,22,31510,Gas,0,0
Acura,TSX,2013,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,31,22,33610,Gas,0,0
Acura,TSX,2014,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,31,22,30635,Gas,0,0
Acura,TSX,2014,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,31,22,33735,Gas,0,0
Acura,TSX,2014,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,31,22,31635,Gas,0,0
Acura,ILX,2015,0,201,4,Luxury,MANUAL,front wheel drive,"Luxury,Performance",Compact,Sedan,31,22,29350,Gas,0,0
Acura,RLX,2015,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,31,20,50950,Gas,0,0
Acura,RLX,2015,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,31,20,60450,Gas,0,0
Acura,RLX,2015,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,31,20,48450,Gas,0,0
Acura,RLX,2015,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,31,20,54450,Gas,0,0
Acura,RLX,2015,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,31,20,56950,Gas,0,0
Acura,TLX,2015,0,290,6,Luxury,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,31,21,41575,Gas,0,0
Acura,TLX,2015,0,290,6,Luxury,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,31,21,44800,Gas,0,0
Acura,RLX,2016,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,31,20,54450,Gas,0,0
Acura,RLX,2016,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,31,20,60450,Gas,0,0
Acura,RLX,2016,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,31,20,50950,Gas,0,0
Acura,TLX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,31,21,41575,Gas,0,0
Acura,TLX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,31,21,44800,Gas,0,0
Acura,TLX,2017,0,290,6,Luxury,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,31,21,44800,Gas,0,0
Acura,TLX,2017,0,290,6,Luxury,AUTOMATIC,all wheel drive,Luxury,Midsize,Sedan,31,21,41600,Gas,0,0
Acura,TSX Sport Wagon,2012,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,30,22,35010,Gas,0,0
Acura,TSX Sport Wagon,2012,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,30,22,31360,Gas,0,0
Acura,TSX Sport Wagon,2013,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,30,22,35510,Gas,0,0
Acura,TSX Sport Wagon,2013,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,30,22,31860,Gas,0,0
Acura,TSX Sport Wagon,2014,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,30,22,35635,Gas,0,0
Acura,TSX Sport Wagon,2014,0,201,4,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,30,22,31985,Gas,0,0
Acura,RLX,2017,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,30,20,54450,Gas,0,0
Acura,RLX,2017,0,310,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,30,20,60450,Gas,0,0
Acura,TL,2012,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,29,20,41635,Gas,0,0
Acura,TL,2012,0,280,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,29,20,35705,Gas,0,0
Acura,TL,2012,0,280,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,29,20,39435,Gas,0,0
Acura,TSX,2012,0,201,4,Luxury,MANUAL,front wheel drive,Luxury,Midsize,Sedan,29,21,31010,Gas,0,0
Acura,TL,2013,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,29,20,39635,Gas,0,0
Acura,TL,2013,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,29,20,41835,Gas,0,0
Acura,TL,2013,0,280,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,29,20,35905,Gas,0,0
Acura,TL,2013,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,29,20,37405,Gas,0,0
Acura,TSX,2013,0,201,4,Luxury,MANUAL,front wheel drive,Luxury,Midsize,Sedan,29,21,31510,Gas,0,0
Acura,TL,2014,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,29,20,37530,Gas,0,0
Acura,TL,2014,0,280,6,Luxury,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,29,20,36030,Gas,0,0
Acura,TL,2014,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,29,20,39760,Gas,0,0
Acura,TL,2014,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,29,20,41960,Gas,0,0
Acura,TSX,2014,0,201,4,Luxury,MANUAL,front wheel drive,Luxury,Midsize,Sedan,29,21,31635,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,29,20,36670,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,29,20,39070,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,29,20,35370,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,29,20,40370,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,29,20,42020,Gas,0,0
Acura,TSX,2012,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,28,19,35550,Gas,0,0
Acura,TSX,2012,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,28,19,38650,Gas,0,0
Acura,TSX,2013,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,28,19,39150,Gas,0,0
Acura,TSX,2014,0,280,6,Luxury,AUTOMATIC,front wheel drive,"Luxury,Performance",Midsize,Sedan,28,19,39275,Gas,0,0
Acura,MDX,2015,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,42565,Gas,0,0
Acura,MDX,2015,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,48840,Gas,0,0
Acura,MDX,2015,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,46840,Gas,0,0
Acura,MDX,2015,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,54780,Gas,0,0
Acura,RDX,2015,0,273,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,38795,Gas,0,0
Acura,RDX,2015,0,273,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,35095,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,19,36870,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,19,41870,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,19,38170,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,19,40570,Gas,0,0
Acura,RDX,2016,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,19,43520,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,39270,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,42220,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,36870,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,40570,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,28,20,35570,Gas,0,0
Acura,MDX,2015,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,18,44565,Gas,0,0
Acura,MDX,2015,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,18,48840,Gas,0,0
Acura,MDX,2015,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,18,50840,Gas,0,0
Acura,MDX,2015,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,18,56780,Gas,0,0
Acura,RDX,2015,0,273,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,36495,Gas,0,0
Acura,RDX,2015,0,273,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,40195,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,43015,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,49440,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,44515,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,20,53230,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,20,55230,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,47440,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,48640,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,50640,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,48360,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,20,56400,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,43950,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,50360,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,front wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,20,54400,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,38370,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,42070,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,37070,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,43720,Gas,0,0
Acura,RDX,2017,0,279,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,27,19,40770,Gas,0,0
Acura,TL,2012,0,305,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,26,18,42985,Gas,0,0
Acura,TL,2012,0,305,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,26,18,39255,Gas,0,0
Acura,TL,2012,0,305,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,26,18,45185,Gas,0,0
Acura,TL,2013,0,305,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,26,18,45385,Gas,0,0
Acura,TL,2013,0,305,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,26,18,39455,Gas,0,0
Acura,TL,2013,0,305,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,26,18,43185,Gas,0,0
Acura,TL,2014,0,305,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,26,18,39580,Gas,0,0
Acura,TL,2014,0,305,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,26,18,45510,Gas,0,0
Acura,TL,2014,0,305,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,26,18,43310,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,18,46515,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,19,55230,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,18,45015,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,18,52640,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,18,51440,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,18,50640,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,18,49440,Gas,0,0
Acura,MDX,2016,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,19,57230,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,19,56400,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,18,50360,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,18,52360,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,19,58400,Gas,0,0
Acura,MDX,2017,0,290,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Luxury",Midsize,4dr SUV,26,18,45950,Gas,0,0
Acura,TL,2012,0,305,6,Luxury,MANUAL,all wheel drive,"Luxury,Performance",Midsize,Sedan,25,17,42985,Gas,0,0
Acura,TL,2013,0,305,6,Luxury,MANUAL,all wheel drive,"Luxury,Performance",Midsize,Sedan,25,17,43185,Gas,0,0
Acura,TL,2014,0,305,6,Luxury,MANUAL,all wheel drive,"Luxury,Performance",Midsize,Sedan,25,17,43310,Gas,0,0
Acura,RL,2011,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,24,17,51350,Gas,0,0
Acura,RL,2011,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,24,17,51350,Gas,0,0
Acura,RL,2011,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,24,17,55150,Gas,0,0
Acura,RL,2011,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,24,17,47200,Gas,0,0
Acura,RL,2012,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,24,17,48200,Gas,0,0
Acura,RL,2012,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,24,17,52350,Gas,0,0
Acura,RL,2012,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,24,17,56150,Gas,0,0
Acura,RL,2012,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,24,17,52350,Gas,0,0
Acura,ZDX,2011,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,46020,Gas,0,0
Acura,ZDX,2011,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,56570,Gas,0,0
Acura,ZDX,2011,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,50520,Gas,0,0
Acura,ZDX,2012,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,46120,Gas,0,0
Acura,ZDX,2012,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,56670,Gas,0,0
Acura,ZDX,2012,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,50620,Gas,0,0
Acura,ZDX,2013,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Crossover,Hatchback,Luxury",Midsize,4dr Hatchback,23,16,50920,Gas,0,0
Acura,RL,2010,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,22,16,54250,Gas,0,0
Acura,RL,2010,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,22,16,50450,Gas,0,0
Acura,RL,2010,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,22,16,50450,Gas,0,0
Acura,RL,2010,0,300,6,Luxury,AUTOMATIC,all wheel drive,"Luxury,Performance",Midsize,Sedan,22,16,46830,Gas,0,0
Acura,NSX,2017,0,573,6,Luxury,AUTOMATED_MANUAL,all wheel drive,"Exotic,Luxury,High-Performance,Hybrid",Compact,Coupe,22,21,156000,Gas,1,0
Alfa Romeo,4C,2015,0,237,4,Luxury,AUTOMATED_MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Convertible,34,24,63900,Gas,1,0
Alfa Romeo,4C,2015,0,237,4,Luxury,AUTOMATED_MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,34,24,68400,Gas,1,0
Alfa Romeo,4C,2015,0,237,4,Luxury,AUTOMATED_MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,34,24,53900,Gas,1,0
Alfa Romeo,4C,2016,0,237,4,Luxury,AUTOMATED_MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,34,24,55900,Gas,1,0
Alfa Romeo,4C,2016,0,237,4,Luxury,AUTOMATED_MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Convertible,34,24,65900,Gas,1,0
Aston Martin,Rapide S,2015,0,552,12,Ultra-Luxury,AUTOMATIC,rear wheel drive,"Exotic,High-Performance",Large,Sedan,22,14,203995,Gas,1,0
Aston Martin,Rapide S,2016,0,552,12,Ultra-Luxury,AUTOMATIC,rear wheel drive,"Exotic,High-Performance",Large,Sedan,22,14,206000,Gas,1,0
Aston Martin,V8 Vantage,2014,0,420,8,Ultra-Luxury,AUTOMATED_MANUAL,rear wheel drive,"Exotic,High-Performance",Compact,Coupe,21,14,122400,Gas,1,0
Aston Martin,V8 Vantage,2014,0,420,8,Ultra-Luxury,AUTOMATED_MANUAL,rear wheel drive,"Exotic,High-Performance",Compact,Convertible,21,14,136900,Gas,1,0
Aston Martin,V8 Vantage,2014,0,430,8,Ultra-Luxury,AUTOMATED_MANUAL,rear wheel drive,"Exotic,High-Performance",Compact,Coupe,21,14,136400,Gas,1,0
Aston Martin,V8 Vantage,2014,0,430,8,Ultra-Luxury,AUTOMATED_MANUAL,rear wheel drive,"Exotic,High-Performance",Compact,Convertible,21,14,150900,Gas,1,0
